Year,Bank,KeywordIndex,TotalResults
2025,HDFC Bank Ltd,Kw11,7
2025,HDFC Bank Ltd,Kw12,125
2025,HDFC Bank Ltd,Kw13,106
2025,City Union Bank Ltd,Kw1,2
2025,City Union Bank Ltd,Kw2,6
2025,City Union Bank Ltd,Kw3,1
2025,City Union Bank Ltd,Kw4,1
2025,City Union Bank Ltd,Kw5,3
2025,City Union Bank Ltd,Kw6,2
2025,City Union Bank Ltd,Kw7,0
2025,City Union Bank Ltd,Kw8,0
2025,City Union Bank Ltd,Kw9,1
2025,City Union Bank Ltd,Kw10,5
2025,City Union Bank Ltd,Kw11,3
2025,City Union Bank Ltd,Kw12,147
2025,City Union Bank Ltd,Kw13,1
2025,Jammu and Kashmir Bank Ltd,Kw1,7
2025,Jammu and Kashmir Bank Ltd,Kw2,95
2025,Jammu and Kashmir Bank Ltd,Kw3,0
2025,Jammu and Kashmir Bank Ltd,Kw4,1
2025,Jammu and Kashmir Bank Ltd,Kw5,9
2025,Jammu and Kashmir Bank Ltd,Kw6,9
2025,Jammu and Kashmir Bank Ltd,Kw7,1
2025,Jammu and Kashmir Bank Ltd,Kw8,0
2025,Jammu and Kashmir Bank Ltd,Kw9,5
2025,Jammu and Kashmir Bank Ltd,Kw10,6
2025,Jammu and Kashmir Bank Ltd,Kw11,0
2025,Jammu and Kashmir Bank Ltd,Kw12,1860
2025,Jammu and Kashmir Bank Ltd,Kw13,5
2025,DBS Group Holdings Ltd,Kw1,50
2025,DBS Group Holdings Ltd,Kw2,57
2025,DBS Group Holdings Ltd,Kw3,41
2025,DBS Group Holdings Ltd,Kw4,9
2025,DBS Group Holdings Ltd,Kw5,53
2025,DBS Group Holdings Ltd,Kw6,80
2025,DBS Group Holdings Ltd,Kw7,18
2025,DBS Group Holdings Ltd,Kw8,0
2025,DBS Group Holdings Ltd,Kw9,109
2025,DBS Group Holdings Ltd,Kw10,239
2025,DBS Group Holdings Ltd,Kw11,11
2025,DBS Group Holdings Ltd,Kw12,58
2025,DBS Group Holdings Ltd,Kw13,41
2025,Bank of India Ltd,Kw1,4
2025,Bank of India Ltd,Kw2,5
2025,Bank of India Ltd,Kw3,0
2025,Bank of India Ltd,Kw4,0
2025,Bank of India Ltd,Kw5,5
2025,Bank of India Ltd,Kw6,4
2025,Bank of India Ltd,Kw7,0
2025,Bank of India Ltd,Kw8,0
2025,Bank of India Ltd,Kw9,2
2025,Bank of India Ltd,Kw10,0
2025,Bank of India Ltd,Kw11,2
2025,Bank of India Ltd,Kw12,8
2025,Bank of India Ltd,Kw13,14
2025,IDBI Bank Ltd,Kw1,210
2025,IDBI Bank Ltd,Kw2,14
2025,IDBI Bank Ltd,Kw3,175
2025,IDBI Bank Ltd,Kw4,0
2025,IDBI Bank Ltd,Kw5,177
2025,IDBI Bank Ltd,Kw6,1
2025,IDBI Bank Ltd,Kw7,0
2025,IDBI Bank Ltd,Kw8,0
2025,IDBI Bank Ltd,Kw9,1
2025,IDBI Bank Ltd,Kw10,3
2025,IDBI Bank Ltd,Kw11,0
2025,IDBI Bank Ltd,Kw12,7
2025,IDBI Bank Ltd,Kw13,7
2025,Karur Vysya Bank Ltd,Kw1,3
2025,Karur Vysya Bank Ltd,Kw2,380
2025,Karur Vysya Bank Ltd,Kw3,2
2025,Karur Vysya Bank Ltd,Kw4,0
2025,Karur Vysya Bank Ltd,Kw5,6
2025,Karur Vysya Bank Ltd,Kw6,3
2025,Karur Vysya Bank Ltd,Kw7,3
2025,Karur Vysya Bank Ltd,Kw8,0
2025,Karur Vysya Bank Ltd,Kw9,2
2025,Karur Vysya Bank Ltd,Kw10,3
2025,Karur Vysya Bank Ltd,Kw11,2
2025,Karur Vysya Bank Ltd,Kw12,5
2025,Karur Vysya Bank Ltd,Kw13,2
2025,South Indian Bank Ltd,Kw1,4
